Theme Configuration,Thema Konfiguration
Industryarc Theme Primary Color,Industryarc Theme Primärfarbe
This color is set as Industryarc Theme design primary color,Diese Farbe wird als Grundfarbe des Industryarc-Designs festgelegt
Industryarc Theme Primary Text Color,Industryarc Theme Primäre Textfarbe
This color is set as Industryarc Theme design primary text color,Diese Farbe wird als primäre Textfarbe des Industryarc-Designs festgelegt
Industryarc Theme Secondary Color,Industryarc Theme Sekundärfarbe
This color is set as Industryarc Theme design Secondary color,Diese Farbe ist als Industryarc Theme Design Sekundärfarbe eingestellt
Industryarc Theme Secondary Text Color,Industryarc Theme Sekundäre Textfarbe
This color is set as Industryarc Theme design Secondary text color,Diese Farbe ist auf Industryarc Theme Design eingestellt Sekundäre Textfarbe
Add Home Link in Navigation,Home-Link in der Navigation hinzufügen
Enable Social Link in Footer,Sozialen Link in der Fußzeile aktivieren
Enable Social Link in Product Detail View,Sozialen Link in der Produkt-Detailansicht aktivieren
Enable Social Link in Header,Social Link in der Kopfzeile aktivieren
Enable Homepage Header Overlay with Primary Block,Überlagerung der Homepage-Kopfzeile mit dem Primärblock aktivieren
Header Color Configuration,Konfiguration der Kopfzeilenfarbe
Header Primary Color,Primärfarbe der Kopfzeile
This color is set as Industryarc Theme header primary color,Diese Farbe ist auf die Primärfarbe der Kopfzeile des Industryarc Themas eingestellt
Header Secondary Color,Kopfzeile Sekundärfarbe
This color is set as Industryarc Theme header secondary color,Diese Farbe ist auf die sekundäre Farbe der Kopfzeile des Industryarc Themas eingestellt
Header Background Color,Hintergrundfarbe der Kopfzeile
This color is set as Industryarc Theme header background color,Diese Farbe ist auf die Hintergrundfarbe der Kopfzeile des Industryarc Themas eingestellt
Header Search Box Background Color,Kopfzeile Suchfeld Hintergrundfarbe
This color is set as Industryarc Theme header search box background color,Diese Farbe ist auf die Hintergrundfarbe des Suchfelds in der Kopfzeile des Industryarc-Themas eingestellt
Social Links Configuration,Soziale Links Konfiguration
Title for Social Media Icons in Footer,Titel für Social-Media-Symbole in der Fußzeile
Title for social media icons button shown in footer,Titel für Social-Media-Symbole in der Fußzeile anzeigen
Title for Social Media Icons in Product Detail Page,Titel für Social-Media-Symbole auf der Produktdetailseite
Title for social media icons button shown in product detail page,Titel für die Schaltfläche Social-Media-Symbole auf der Produktdetailseite
Enable Facebook,Facebook aktivieren
Enable Twitter,Twitter aktivieren
Enable Instagram,Instagram aktivieren
Enable Youtube,Youtube aktivieren
Enable Whatsapp,Whatsapp aktivieren
Enable Pinterest,Pinterest aktivieren
Enable Xing,Xing aktivieren
Preloader Configuration,Preloader Konfiguration
Preloader Background Color,Preloader Hintergrundfarbe
Preloader Image,Preloader Bild
Share Me,Teilen Sie mich
Social Media,Soziale Medien
Footer Color Configuration,Konfiguration der Fußzeilenfarbe
Footer Primary Color,Primäre Farbe der Fußzeile
This color is set as Industryarc Theme footer primary color,Diese Farbe ist auf die Grundfarbe der Fußzeile des Industryarc-Themas eingestellt
Footer Secondary Color,Fußzeile Sekundärfarbe
This color is set as Industryarc Theme footer secondary color,Diese Farbe ist auf die sekundäre Farbe der Fußzeile des Industryarc-Themas eingestellt
Footer Background Color,Hintergrundfarbe der Fußzeile
This color is set as Industryarc Theme footer background color,Diese Farbe wird als Hintergrundfarbe der Fußzeile des Industryarc-Themas festgelegt
Products Design Configuration,Produkte Design Konfiguration
Product Price Color,Produkt Preis Farbe
This color is set as Industryarc Theme product price color to all pages,Diese Farbe wird als Industryarc Theme Produktpreisfarbe auf allen Seiten eingestellt
Product Listing/Detail Page Breadcrumb Background Color,Hintergrundfarbe der Brotkrümel auf der Produktauflistung/Detailseite
This color is set as Industryarc Theme breadcrumb background color in listing/detail page,Diese Farbe wird als Hintergrundfarbe für die Brotkrümel des Industryarc-Themas auf der Auflistung/Detailseite festgelegt
Product Listing/Detail Page Breadcrumb Text Color,Produktauflistung/Detail Seite Brotkrümel Textfarbe
This color is set as Industryarc Theme breadcrumb text color in listing/detail page,Diese Farbe wird als Brotkrümel Textfarbe des Industryarc-Themas auf der auflistung/Detailseite festgelegt
Product Listing Page Sidebar/Filter Background Color,Produktlistenseite Seitenleiste/Filter Hintergrundfarbe
This color is set as Industryarc Theme listing page search/filter background color,Diese Farbe wird als Hintergrundfarbe für die Such-/Filterseite des Industryarc-Themas Auflistungsseite festgelegt
Product Listing Page Sidebar/Filter Text Color,Produktlistenseite Seitenleiste/Filter Textfarbe
This color is set as Industryarc Theme listing page search/filter text color,Diese Farbe wird als Such-/Filtertextfarbe für die Auflistungsseite des Industryarc-Themas festgelegt
Product Listing Page Grid Background Color,Hintergrundfarbe des Rasters auf der Produktauflistungsseite
This color is set as Industryarc Theme listing page product grid column background color,Diese Farbe wird als Hintergrundfarbe für die Spalten des Produktrasters auf der Seite des Industryarc-Themas festgelegt
Product Listing Page Grid Text Color,Produktauflistung Seite Raster Textfarbe
This color is set as Industryarc Theme listing page product grid column text color,Diese Farbe wird als Textfarbe für die Spalten des Produktrasters auf der Seite des Industryarc-Themas festgelegt
Product Detail Page Background Color,Produkt-Detailseite Hintergrundfarbe
This color is set as Industryarc Theme product detail page content background color,Diese Farbe wird als Hintergrundfarbe für den Inhalt der Produktdetailseite im Industryarc-Theme festgelegt
Product Detail Page text Color,Produktdetail Seite Text Farbe
This color is set as Industryarc Theme product detail page content text color,Diese Farbe wird als Textfarbe für den Inhalt der Produktdetailseite im Industryarc-Theme festgelegt
Product Detail/Listing Page Background Image,Produktdetail/Listenseite Hintergrundbild
Enable Product Grid Add to cart Button on Hover,Add to cart-Schaltfläche für Produktraster bei Hover aktivieren
Footer Design Configuration,Fußzeilendesign Konfiguration
Enable Store Map in Footer,Store Map in der Fußzeile aktivieren
Store Map URL,Store Map URL
Enable App Store Icon 1 in Footer,App Store-Symbol 1 in der Fußzeile aktivieren
Enable App Store Icon 2 in Footer,App Store-Symbol 2 in der Fußzeile aktivieren
App Store Icon 1 URL,App Store-Symbol 1 URL
App Store Icon 2 URL,App Store-Symbol 2 URL
App Store Icon 1 Image,App Store Icon 1 Bild
App Store Icon 2 Image,App Store Icon 2 Bild
Enable Footer Company information,Fußzeile aktivieren Unternehmensinformationen
Footer Company Description,Fußzeile Unternehmensbeschreibung
This description is set as Industryarc Theme footer company information description,Diese Beschreibung wird als Beschreibung der Unternehmensinformationen in der Fußzeile des Industryarc-Themes festgelegt
Footer Company Info Logo,Fußzeile Firmeninfo Logo
